Code;Description;OrgCode
1;Telecommunications;DOTEL
2;Mobile Related;DOTEL
3;Pension Related;DOTEL
4;Broadband Related;DOTEL
5;Landline Related;DOTEL
6;Employee Related / Services Related;DOTEL
7;Tower Related;DOTEL
8;Malpractices / Corruption / Complaint Related to financial irregularities;DOTEL
9;Suggestions;DOTEL
10;Others;DOTEL
11;Call Drop;DOTEL
12;Improper Network Coverage;DOTEL
13;Data Speed lower than commited;DOTEL
14;Mobile Number Portability (MNP);DOTEL
15;UCC related complaints;DOTEL
16;Activation/Deactivation of Value Added Services without explicit consent;DOTEL
17;Activation/Deactivation/Fault of Sim Card;DOTEL
18;AADHAR Linking/Documents verification;DOTEL
19;Tariff / Recharge issue / Billing issue of Postpaid;DOTEL
20;No Network Coverage;DOTEL
21;Others;DOTEL
22;Pension not started / Pension stopped;DOTEL
23;Revision of Pension;DOTEL
24;Miscalculation in Pension;DOTEL
25;Adding beneficiary in PPO;DOTEL
26;Others;DOTEL
27;Delay in New BB Connection;DOTEL
28;Landline working but Internet not working/Frequent disconnection;DOTEL
29;Billing issue;DOTEL
30;Speed lower than committed;DOTEL
31;Others;DOTEL
32;Delay or issue in providing New Telephone Connection/Shifting/Change of Name;DOTEL
33;New Connection;DOTEL
34;Delay  in disconnection/closure;DOTEL
35;Denial of rent rebate during fault;DOTEL
36;Telephone Faulty/dead;DOTEL
37;Security Refund;DOTEL
38;Billing issue;DOTEL
39;Telephone not working properly;DOTEL
40;Others;DOTEL
41;Compensatory ground appointment;DOTEL
42;Pending any type of Bill/dues for payment;DOTEL
43;Issues related to Promotion;DOTEL
44;Transfer/Posting;DOTEL
45;Pending Disciplinary/Vigilance matters;DOTEL
46;Sexual harassment;DOTEL
47;Misbehaviour/Harassment by any officer/staff;DOTEL
48;Residential Service Telephone Connection;DOTEL
49;Health Hazard / Radiation Issue;DOTEL
50;Tower installation related fraud / Cheating;DOTEL
51;Employee Related Case;DOTEL
52;Others;DOTEL
53;Mobile Related;DOTEL
54;Landline Related;DOTEL
55;Broaband / Internet related;DOTEL
56;TRAI Related;DOTEL
57;General suggestion related to DoT / Policy;DOTEL
58;Spectrum/License (2G, 3G, 4G);DOTEL
59;Spectrum/License (5G);DOTEL
60;Others;DOTEL
61;Posts;DPOST
62;Delay/ Non - Delivery/Abstraction of Postal Articles;DPOST
63;Pension Related;DPOST
64;Financial Scheme Related;DPOST
65;Insurance Related;DPOST
66;Employees Service Related;DPOST
67;Allegation of Corruption/ Malpractices/Harassment;DPOST
68;Atrocities Against;DPOST
69;Aadhar and Post Office Passport Seva Kendra (POPSK) Related;DPOST
70;E-commerce portal Related;DPOST
71;Philately Related;DPOST
72;ePost Office Related;DPOST
73;Land Related;DPOST
74;Others/Misc.;DPOST
75;Domestic;DPOST
76;International;DPOST
77;Speed post letters;DPOST
78;Speed post COD;DPOST
79;Registered letters/Registered letters with acknowledgement;DPOST
80;Parcels/Registered Parcels;DPOST
81;Express Parcel/ Business Parcel;DPOST
82;Express Parcel/ Business Parcel COD;DPOST
83;Money Order (emo,imo etc.);DPOST
84;Insured Articless;DPOST
85;Other premium BD Products;DPOST
86;Value Payable;DPOST
87;Others;DPOST
88;Foreign Articles (inbound/outbound);DPOST
89;Delay in Pension;DPOST
90;Revision of Pension;DPOST
91;Miscalculation in Pension;DPOST
92;Adding beneficiary in PPO;DPOST
93;Others;DPOST
94;Public Provident Fund Account;DPOST
95;Recurring Deposit;DPOST
96;Monthly Income Scheme;DPOST
97;Savings Bank (SB/RD/TD/MIS/SCSS/Others);DPOST
98;Sukanya Samriddhi;DPOST
99;Senior Citizen Savings Scheme;DPOST
100;Time Deposit;DPOST
101;ATM Card Related;DPOST
102;MNREGA Account;DPOST
103;National Savings Certificate VIII or IX;DPOST
104;Kisan Vikas Patra;DPOST
105;Indian Postal Order (IPO) Related;DPOST
106;Closure/Premature Closure of account at Branch Post Office;DPOST
107;Closure/Premature Closure of account at Head Post Office;DPOST
108;Closure/Premature Closure of account at Sub Post Office;DPOST
109;Issue of Dublicate Passbook;DPOST
110;Opening of account;DPOST
111;Return of Passbook;DPOST
112;Settlement of deceased claim case with nomination;DPOST
113;Settlement of deceased claim case without nomination but with proof of;DPOST
114;Transfer of account-Application given at PO where account stands;DPOST
115;Transfer of account-Application given at Transferee PO;DPOST
116;Others;DPOST
117;Closure/Premature Closure of account at Branch Post Office;DPOST
118;Closure/Premature Closure of account at Head Post Office;DPOST
119;Closure/Premature Closure of account at Sub Post Office;DPOST
120;Issue of Dublicate Passbook;DPOST
121;Opening of account;DPOST
122;Return of Passbook;DPOST
123;Settlement of deceased claim case with nomination;DPOST
124;Settlement of deceased claim case without nomination but with proof of;DPOST
125;Transfer of account-Application given at PO where account stands;DPOST
126;Transfer of account-Application given at Transferee PO;DPOST
127;Others;DPOST
128;Closure/Premature Closure of account at Branch Post Office;DPOST
129;Closure/Premature Closure of account at Head Post Office;DPOST
130;Closure/Premature Closure of account at Sub Post Office;DPOST
131;Issue of Dublicate Passbook;DPOST
132;Opening of account;DPOST
133;Return of Passbook;DPOST
134;Settlement of deceased claim case with nomination;DPOST
135;Settlement of deceased claim case without nomination but with proof of;DPOST
136;Transfer of account-Application given at PO where account stands;DPOST
137;Transfer of account-Application given at Transferee PO;DPOST
138;Others;DPOST
139;Closure/Premature Closure of account at Branch Post Office;DPOST
140;Closure/Premature Closure of account at Head Post Office;DPOST
141;Closure/Premature Closure of account at Sub Post Office;DPOST
142;Issue of Dublicate Passbook;DPOST
143;Opening of account;DPOST
144;Return of Passbook;DPOST
145;Settlement of deceased claim case with nomination;DPOST
146;Settlement of deceased claim case without nomination but with proof of;DPOST
147;Transfer of account-Application given at PO where account stands;DPOST
148;Transfer of account-Application given at Transferee PO;DPOST
149;Others;DPOST
150;Issuance Issues;DPOST
151;Payment Issues;DPOST
152;Claim Cases Related;DPOST
153;Tansfer Case Related;DPOST
154;Others;DPOST
155;Issuance Issues;DPOST
156;Payment Issues;DPOST
157;Claim Cases Related;DPOST
158;Tansfer Case Related;DPOST
159;Others;DPOST
160;Issuance Issues;DPOST
161;Payment Issues;DPOST
162;Claim Cases Related;DPOST
163;Tansfer Case Related;DPOST
164;Others;DPOST
165;ATM Card Blocking;DPOST
